Label,content
2,"……全球暖化瞬間變成明日黃花，現在問題的重點很有可能要急劇轉向到因應今明甚至持續到後年的冷夏+寒冬，以及因此而生的種種問題，從糧食減產到國際糧價飆漲

東加火山今晨再次大噴發！海嘯預警中心：觀測到巨浪

"
2,暖化警報! 北極基建危 阿根廷熱浪毀電網｜秦綾謙｜FOCUS全球新聞 20220112
2,"極端氣候頻傳! 乾旱.熱浪.水患與暖化有關 歐盟氣候監測機構指出過去7年是全球有紀錄以來""最熱"" 美國去年天災致死人數 更創下十年來新高｜記者 ..."
2,"快跑啊！眼見浮冰裂開要漂離岸邊...落單小企鵝拔腿狂奔！再次顯示出全球暖化問題 歐盟研究報告:過去7年是有紀錄以來""最熱的""？│記者陳淮安│【國..."
2, 我們可以延緩全球暖化⋯⋯
2,"#關鍵新聞 全球暖化不減反增，歐盟哥白尼氣候變化服務機構調查得出：「過去7年的平均溫度為歷史最高，且近兩年的甲烷濃度的上升速度，也來到17年來的兩倍之多。」

#全球暖化 #溫室氣體 #哥白尼氣候變化服務 #甲烷 #二氧化碳 #歷史最高"
2,"全球暖化影響作物產量，除了想辦法找尋作物中的耐熱基因，從其他野生種原中尋找耐熱品種也是一種方法。
原產於澳洲北部的澳洲稻，就比栽培種水稻要耐熱；最近的研究也發現澳洲稻之所以耐熱的部分原因。
或許將來可以用澳洲稻為藍本，對... "
2, 是這樣。等到全球氣候暖化，育空也不太冷了，我也搬去育空。
2, 按照目前各國的各自為政，全球暖化引起的極端天氣只會越來越多，破壞力越來越大。這必然更加導致各國貧富差距越來越大。
2, 這樣會有人說全球暖化不存在的
2, 現在全球暖化，氣候變遷，冰川融化，海水漲潮，未來幾年應該會常常淹水啊，世界已開始變化了，都是人類一手造成
2,"全球暖化讓北極海冰消融，動物的行為也跟著受到影響

"
2," 看不到髒就不髒
贏了贏了
反正全球暖化
夏天的天氣八成很早來
穩"
2,全球暖化影響下，每當地球暖化1攝氏度，等溫線便會北移100哩；另有研究指，歐洲等溫線正以每年15公里北移，這便可以引致物種北移
2,這群全球主義者要在2030計劃中達到世界大政府的目的，其實就是化了妝的共產主義。先利用保護環境 氣候變暖等限制人類活動，現在又利用疫情，WEF創辦人及執行董事長克勞斯 馬丁 施瓦布寫了《covid 19 the great reset》。 為了有個比較清晰簡明的理解 WEF官網短片，2030的8個預測 赫然寫著：...
2,  個法理咪就係呼吸會排出二氧化碳，加劇全球暖化，所以呼吸係有害
2, 全球暖化：北半球炸彈寒潮
2,"以下只是推測、估計而已！

溫馨提示：
在藍營內工作收 $，若跟著蓋茨思維模式走，晚晚都要加班了！

理據：
蓋茨提倡的方法值得商榷 - 
他建議射一些旱有金屬於大氣層裡，以阻隔太陽的能量進入地球表面，從以減低全球暖化的速度 (出自臉書內的 Gates Note lnsider)！但 ...

- 旱有金屬非常昂貴；"
2,"X 行星經過而導致地球升溫和地軸轉移的原理（華語版） 

繁體字幕：
"
2,"Don’t Look Up裡的彗星，無論用來指代疫情或全球暖化都可以，大災難面前，人類總是愚笨無知的。

然後又想，你見電影裡有權勢的人做盡傻事，荒謬不堪，但畢竟權力是在他們手上。個人能力始終有限——少開幾天冷氣，關好幾晚的燈，大廠還是會轟隆轟隆地運作，大國還是會繼擅加軍備。

你也只得苦笑而已。"
2,"德國和美國去年的洪災，以及加拿大和巴基斯坦的致命熱浪顯示，各國政府未能保護瀕危人群免於 #氣候變化 損害。各國最近承諾以更積極行動減少溫室氣體排放，但距離避免全球暖化最悲慘結果所需要的努力程度仍然遠遠不足。

"
2,Don't look up 裡面除了彗星是虛構的之外，其他事情都跟現實世界差不多。大家可以把彗星代換成武漢肺炎或是全球暖化。
2,"這位說全球變暖努力沒啥效果？此話何來？
全球雙碳達標都槓桿化最終催生了空手套白狼的世界首富，電動車馬斯克了，還不夠暴力？
還需要天朝拉閘停電更多少呢？ "
2,  全球暖化氣候變遷都你們造成的
2,"只是推測、估計：

溫馨提示：
在藍營內工作收 $，若跟著蓋茨走，晚晚都要加班了！

理據：
蓋茨提倡的方法值得商榷 - 
他建議射一些旱有金屬於大氣層裡，以阻隔太陽的能量進入地球表面，從以減低全球暖化的速度 (出自臉書內的 Gate Note lnsider)！但 ...

- 旱有金屬非常昂貴；"
2,"【全球暖化愈加嚴重掀災害  敦馬籲全民準備應對天災 】

西馬半島暴雨成災，前首相敦馬哈迪撰文指出，地球正經歷氣溫上升問題，且情況愈加嚴重。他促全民做好準備，應對更多天災。

他指出，世界人口劇增，人類所散發的熱量、燃燒燃料、砍伐樹木及森林大火等產生的熱量和二氧化碳，皆為全球暖化因素。 "
2," 現在甚麼病毒越來越狡猾而且不斷變異至幾千種病毒而且速度進一步加快還有越來越難捉摸而導致要清零非常困難是因為全球暖化加劇與其相關的生態環境的轉變尤其全球氣候轉變例如旱災，破記錄雨量雪量，水災，颱風，颶風, 龍捲風等更加強烈的熱帶氣旋等極端天氣越來越頻繁等等可能有直接的關係"
2,撒旦貨幣金錢制度存在的一天。全球暖化騙局–大英帝國推動的優生政策 
2,今天熱成這樣你跟我說是冬天？難道全球暖化真的這麼嚴重嗎
2,"報告：中共以氣候為武器打擊世界經濟

英國非營利組織「全球暖化政策基金會」，週一發布報告，詳細介紹了中共對國際氣候協議的操縱，將 #氣候變化 議題變成了 #對抗西方 的武器。在氣候峰會上，中共堅持將「逐步淘汰」燃煤電廠改成「逐步減少」，以便它繼續使用煤炭發電。

 "
3,"First World Problem.

當啲左仔同大公司／大團體（如NBA）同濕鳩政客（如佩洛西）覺得氣候變化（aka 70年代開始吹嘅全球寒化、aka 乜撚嘢冰河時期、aka 全球暖化）係重要過種族大屠殺嘅時候，我係共匪都陰陰嘴笑。"
3,"最應該從地球上消失的大概是人類了
汙染，戰爭，濫捕濫殺，全球暖化都是人類弄出來的"
3,"早就說全球暖化是在詐騙吼

先擔心小冰河期到來而產生的缺糧、低溫問題吧 "
3,   認為全球暖化比一個國家的人權重要等於不在意人權問題？什麼漿糊腦袋？
3,程曉農1027精華: 全球暖化作假?世界最大科學醜聞 維基解密氣候門曝光。習近平的中國夢 如何影響全球暖化?
3,岸田總理還在講氣候變動a.k.a.全球暖化，反射弧/神經傳導速度比雷龍還慢，東加海底火山爆發的涼夏及糧食減產等後續效應要怎麼因應都完全不提 
3," 全球暖化只是假議題

真正問題是小冰河時期到來"
3, 在訪談中導演說是諷刺全球暖化，然後在疫情前就寫好了。然後在開拍後疫情爆發，劇本上寫得事一一發生，導演一度懷疑人生，一度想停拍，但後來改成讓電影劇情變得更誇張。
3,許多政客談論氣候變化，但仍有不少從政者否認全球暖化的事實。有趣的是，聖經一開始便提及氣候變化。當始祖亞當夏娃犯罪得罪神後，全球天氣便起了變化。 
3,"全球暖化 澳洲小鎮測得破紀錄的攝氏50.7度

熱浪是澳洲的無聲殺手，造成的死亡人數比任何其他極端氣候事件都多"
3,"1論東亞之敵友
1.1盎撒之外，還有斯拉夫殺豬刀，綠教殺豬刀。
個人覺得論東亞之敵，一是俄，二是綠，盎撒只能排第三。
俄是近憂，無論政權如何更迭，其開疆拓土殺人換種的潛意識數百年以一貫之，恐怕只有全球暖化帶來的北冰洋航道融化才能稍許安定一下南向的擴張欲。"
3,  看看這幾天加拿大的氣候和溫度，就知道全球暖化，是一個鬼話
3,2022年中國將面臨第73次崩潰，中國的崩潰頻率受到新冠、中美關係、哈薩克局勢、印太戰略、美國中期選舉、全球暖化、卡達世界盃等不確定因素影響，會大幅提升，一年崩潰一次是確定的，不確定的是有可能一年崩潰好幾次，提請大家注意
3,"看到新聞在講全球暖化很多動物都改變體型和生存方式
oO就只有人類還是一堆笨蛋"
3, 現在南極是夏天吧，化幾塊冰就是全球變暖了？
3,2022，以5782-5783，全球疫症第三年，全球暖化年， 上帝兒女僕人無知異能，不張呂劉鄧傅朱艾婚姻，張家人不異能婚姻，立志一代又一代異能種歸異能種
3, 推行全球暖化效應的影響，進而推進綠色新政、收碳稅、打壓傳統能源業...土豆做的事就很明顯在配合議程推進
3, 然後拜登政府竟然天才到認為在全球暖化議題跟中國存在合作空間
3,"疫情使得中美關係進一步惡化。美國抨擊中國隱匿疫情，中國拒絕開放調查。難以預測的世界也伴隨一些好處。很多人喜歡遠距上班，遠距服務有時比較便宜也更容易取得。科技快速散播可望促進醫藥產業驚人進步，或緩解全球暖化。新冠疫情就像一個出入口，通過了就再也無法回頭。
"
3,"Step by step

打針會好快成為過去，數字貨幣，全球暖化嘅話題跟著黎

病毒lockdown -安心出殯-健康碼-疫苗護照-數字貨幣

從一開始，每一樣都係讓你禁足失去自由，慢慢溫水煮蛙，到最後，連你嘅錢都要被黑暗勢操控埋。

你嘅姐係我嘅，我嘅仲係我嘅 "
3,"2021年會留下記憶點的就這部Don't Look Up和Dune了。故事圍繞著不見棺材不掉淚的題材延展開來。導演以comedy的手段讓觀眾更容易感受到今天社會已經可以扭曲科學的客觀事實。類似全球暖化和新冠一些事件，透過主流媒體和社交媒體，以及背後的操控來引導人們，從新解讀，丟失真理。

#DontLookUp #facts"
3,"日經：全球正面臨防止氣候變暖和抑制脫碳化引發的物價上漲這一“綠色通脹（Greenflation）”的課題
——綠色經濟就是窮國和窮人稅。"
3, 好萊塢明星的經濟學高論和高中生全球暖化科學一樣荒唐。瘋狂的時代。
3,"  最好的方向：
漲電費，吃萊劑，爛環境
好個經濟，
接下來你要說全球暖化是騙人的嗎"
3,"藍腦：全球暖化，所以我們要支援核電，減少火力發電

休但幾累，問題的根源不就是因為要用電的人太多
而且現在大家對核能還是有疑慮嗎？
如果真的要從源頭解決暖化問題的話
還是先把全球人口減少一半吧
（薩諾斯
（喂
#心情廢文
#人類自願滅絕運動"
3,"香港開埠181年最黑暗歲月
《鉗制思想行為自由》
《鐵窗鎮壓異見》
《貪腐成主流》
《滿口謊言》
————————
中共露出馬腳英「全球暖化政策」組織：中共利用氣候政策加強經濟，還把它變成削弱他國的武器"
